feature set,model,R2_cv,RMSE_cv,MAE_cv
all features,Ridge (linear),0.8974270967976118,9.005967164030398,7.082691099724516
all features,Random forest,0.8590749742867579,10.556211831256894,8.049846193553728
all features,Gradient boosting,0.9242597840475532,7.738865606996488,5.924976139569435
all features,Gaussian process,0.9533590868665969,6.072919963129923,4.4205966054923955
physics-informed,Ridge (linear),0.8981990752840263,8.972013052579909,7.140461253728698
physics-informed,Random forest,0.8661123231603449,10.289264658710556,7.862650843497917
physics-informed,Gradient boosting,0.926587397711116,7.6190240548221775,5.91669732930934
physics-informed,Gaussian process,0.9649670266849744,5.263232248626731,3.844946820378126
